id,user_id,question,bot_response,recommendation,data_snapshot,created_at,updated_at
1,1,Câu hỏi số 1,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
2,1,Câu hỏi số 2,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
3,1,Câu hỏi số 3,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
4,1,Câu hỏi số 4,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
5,1,Câu hỏi số 5,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
6,1,Câu hỏi số 6,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
7,1,Câu hỏi số 7,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
8,1,Câu hỏi số 8,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
9,1,Câu hỏi số 9,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
10,1,Câu hỏi số 10,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
11,1,Câu hỏi số 11,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
12,1,Câu hỏi số 12,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
13,1,Câu hỏi số 13,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
14,1,Câu hỏi số 14,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
15,1,Câu hỏi số 15,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
16,1,Câu hỏi số 16,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
17,1,Câu hỏi số 17,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
18,1,Câu hỏi số 18,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
19,1,Câu hỏi số 19,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
20,1,Câu hỏi số 20,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
21,1,Câu hỏi số 21,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
22,1,Câu hỏi số 22,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
23,1,Câu hỏi số 23,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
24,1,Câu hỏi số 24,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
25,1,Câu hỏi số 25,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
26,1,Câu hỏi số 26,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
27,1,Câu hỏi số 27,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
28,1,Câu hỏi số 28,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
29,1,Câu hỏi số 29,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
30,1,Câu hỏi số 30,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
31,1,Câu hỏi số 31,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
32,1,Câu hỏi số 32,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
33,1,Câu hỏi số 33,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
34,1,Câu hỏi số 34,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
35,1,Câu hỏi số 35,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
36,1,Câu hỏi số 36,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
37,1,Câu hỏi số 37,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
38,1,Câu hỏi số 38,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
39,1,Câu hỏi số 39,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
40,1,Câu hỏi số 40,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
41,1,Câu hỏi số 41,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
42,1,Câu hỏi số 42,Câu trả lời máy mốt,NULL,NULL,2024-01-01 00:00:00,2024-01-01 00:00:00
