1|5|VAR TOULON|84914|-11.71|82996|2.80
2|17|ODYSSEUM|74788|0.15|66188|38.61
3|39|BORDEAUX MERIGNAC|68788|-3.35|61276|23.69
4|118|CAMPUS|64320|37.85|52416|42.87
5|22|LYON PART DIEU|59887|15.22|48765|18.90
6|89|NICE ETOILE|57654|-8.44|50123|-5.67
7|33|MARSEILLE TERRASSES|55432|22.10|48901|25.33
8|101|PARIS LA DEFENSE|53210|-12.55|46789|-10.22
9|44|TOULOUSE BLAGNAC|51987|9.87|44321|12.45
10|67|LILLE EURALILLE|49876|-15.33|42109|-13.88
11|12|STRASBOURG|48765|5.66|39876|7.89
12|55|RENNES ALMA|47654|-20.11|38765|-18.44
13|78|NANTES ATLANTIS|46543|18.77|37654|20.99
14|90|BORDEAUX LAC|45432|-6.55|36543|-4.88
15|23|DIJON TOISON DOR|44321|11.22|35432|13.66
16|66|GRENOBLE GRAND PLACE|43210|-9.88|34321|-7.55
17|34|CLERMONT FERRAND|42109|7.44|33210|9.88
18|99|ANNECY|41098|-14.22|32109|-12.66
19|11|METZ WAVERLY|39987|3.55|31098|5.99
20|88|AVIGNON MISTRAL|38876|-17.88|29987|-15.44
